Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 50, 50, 77672296, 0.00000128746034988581
Serial Merge Branchless, 28, 50, 50, 131072000, 0.00000076293946449368
Bitonic Merge, 28, 50, 50, 66576252, 0.00000150203709381458
Serial Merge, 32, 50, 50, 209715200, 0.00000047683715820312
Serial Merge Branchless, 32, 50, 50, 524288000, 0.00000019073486612342
Bitonic Merge, 32, 50, 50, 149796576, 0.00000066757201011569
Serial Merge, 28, 64, 65, 193237584, 0.00000066757201011569
Serial Merge Branchless, 28, 64, 65, 150295904, 0.00000085830686202826
Bitonic Merge, 28, 64, 65, 131967128, 0.00000097751615157904
Serial Merge, 32, 64, 65, 169082880, 0.00000076293946449368
Serial Merge Branchless, 32, 64, 65, 216426080, 0.00000059604644775391
Bitonic Merge, 32, 64, 65, 159136816, 0.00000081062319168268
Serial Merge, 28, 65, 65, 181753168, 0.00000071525573730469
Serial Merge Branchless, 28, 65, 65, 227191456, 0.00000057220461258112
Bitonic Merge, 28, 65, 65, 181753168, 0.00000071525573730469
Serial Merge, 32, 65, 65, 340787200, 0.00000038146973224684
Serial Merge Branchless, 32, 65, 65, 1090519040, 0.00000011920928955078
Bitonic Merge, 32, 65, 65, 1363148800, 0.00000009536743306171
