Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Serial Merge,4,50000000,50000000,103596008,0.96528816223144531250
Serial Merge Branchless,4,50000000,50000000,96149592,1.04004597663879394531
Bitonic Merge,4,50000000,50000000,128119616,0.78052061796188354492
AVX512 Merge,4,50000000,50000000,292169088,0.34226754307746887207
Serial Merge,8,50000000,50000000,97675544,1.02379775047302246094
Serial Merge Branchless,8,50000000,50000000,90899344,1.10011792182922363281
Bitonic Merge,8,50000000,50000000,121019912,0.82631027698516845703
AVX512 Merge,8,50000000,50000000,290474752,0.34426400065422058105
Serial Merge,12,50000000,50000000,97374640,1.02696144580841064453
Serial Merge Branchless,12,50000000,50000000,90592120,1.10384881496429443359
Bitonic Merge,12,50000000,50000000,120636256,0.82893818616867065430
AVX512 Merge,12,50000000,50000000,288258784,0.34691050648689270020
Serial Merge,16,50000000,50000000,97277480,1.02798712253570556641
Serial Merge Branchless,16,50000000,50000000,90528400,1.10462570190429687500
Bitonic Merge,16,50000000,50000000,120303248,0.83123272657394409180
AVX512 Merge,16,50000000,50000000,282580192,0.35388183593750000000
Serial Merge,20,50000000,50000000,97320992,1.02752757072448730469
Serial Merge Branchless,20,50000000,50000000,90542040,1.10445928573608398438
Bitonic Merge,20,50000000,50000000,118570296,0.84338152408599853516
AVX512 Merge,20,50000000,50000000,286601728,0.34891626238822937012
Serial Merge,24,50000000,50000000,97346736,1.02725577354431152344
Serial Merge Branchless,24,50000000,50000000,90515280,1.10478579998016357422
Bitonic Merge,24,50000000,50000000,103495168,0.96622866392135620117
AVX512 Merge,24,50000000,50000000,285529088,0.35022699832916259766
Serial Merge,28,50000000,50000000,97346008,1.02726352214813232422
Serial Merge Branchless,28,50000000,50000000,90543512,1.10444140434265136719
Bitonic Merge,28,50000000,50000000,105953088,0.94381392002105712891
AVX512 Merge,28,50000000,50000000,286188128,0.34942048788070678711
