Name,Entropy,A Size,B Size,Elements Per Second,Total Time
Serial Merge,4,500,500,96866144,0.00001032352429319872
Serial Merge Branchless,4,500,500,98227256,0.00001018047350953566
Bitonic Merge,4,500,500,118818816,0.00000841617566038622
AVX512 Merge,4,500,500,142179792,0.00000703334808349609
Serial Merge,8,500,500,27094986,0.00003690719677251764
Serial Merge Branchless,8,500,500,27431682,0.00003645419928943738
Bitonic Merge,8,500,500,56073580,0.00001783371044439264
AVX512 Merge,8,500,500,70969616,0.00001409053766110446
Serial Merge,12,500,500,26429138,0.00003783702777582221
Serial Merge Branchless,12,500,500,29475080,0.00003392696453374811
Bitonic Merge,12,500,500,56223916,0.00001778602563717868
AVX512 Merge,12,500,500,69788752,0.00001432895624020603
Serial Merge,16,500,500,26664360,0.00003750324322027154
Serial Merge Branchless,16,500,500,27449632,0.00003643035961431451
Bitonic Merge,16,500,500,49228920,0.00002031326221185736
AVX512 Merge,16,500,500,61771780,0.00001618862188479397
Serial Merge,20,500,500,28688810,0.00003485679553705268
Serial Merge Branchless,20,500,500,29495810,0.00003390312122064643
Bitonic Merge,20,500,500,56910504,0.00001757144855218939
AVX512 Merge,20,500,500,72440480,0.00001380443609377835
Serial Merge,24,500,500,26800664,0.00003731250762939453
Serial Merge Branchless,24,500,500,29310300,0.00003411770012462512
Bitonic Merge,24,500,500,55406924,0.00001804828571039252
AVX512 Merge,24,500,500,71331704,0.00001401901226927293
Serial Merge,28,500,500,26198026,0.00003817081596935168
Serial Merge Branchless,28,500,500,27360104,0.00003654956890386529
Bitonic Merge,28,500,500,51087748,0.00001957416498044040
AVX512 Merge,28,500,500,59833152,0.00001671314203122165
Serial Merge,4,5000,5000,30253202,0.00033054352388717234
Serial Merge Branchless,4,5000,5000,30984000,0.00032274721888825297
Bitonic Merge,4,5000,5000,67660976,0.00014779568300582469
AVX512 Merge,4,5000,5000,137834512,0.00007255077071022242
Serial Merge,8,5000,5000,28238766,0.00035412312718108296
Serial Merge Branchless,8,5000,5000,28926234,0.00034570693969726562
Bitonic Merge,8,5000,5000,60910604,0.00016417502774856985
AVX512 Merge,8,5000,5000,131400496,0.00007610321335960180
Serial Merge,12,5000,5000,28168596,0.00035500526428222656
Serial Merge Branchless,12,5000,5000,29038382,0.00034437180147506297
Bitonic Merge,12,5000,5000,55465536,0.00018029213242698461
AVX512 Merge,12,5000,5000,136267184,0.00007338523573707789
Serial Merge,16,5000,5000,28708446,0.00034832954406738281
Serial Merge Branchless,16,5000,5000,28696662,0.00034847258939407766
Bitonic Merge,16,5000,5000,58262312,0.00017163754091598094
AVX512 Merge,16,5000,5000,132479592,0.00007548332359874621
Serial Merge,20,5000,5000,28370562,0.00035247803316451609
Serial Merge Branchless,20,5000,5000,28926234,0.00034570693969726562
Bitonic Merge,20,5000,5000,58319020,0.00017147064500022680
