Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,2,280258880,0.00023384093947242945
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,4,321871072,0.00020360946655273438
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,8,288434304,0.00022721290588378906
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,16,174570000,0.00037541388883255422
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,32,473437696,0.00013842582120560110
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,64,245120304,0.00026736260042525828
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,128,281464160,0.00023283957852981985
AVX-512 Merge Path Based Parallel Merge,4,32768,32768,256,58101440,0.00112795829772949219
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,2,405544288,0.00016160011000465602
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,4,550636800,0.00011901855759788305
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,8,974744320,0.00006723403930664062
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,16,1027965248,0.00006375312659656629
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,32,1000283520,0.00006551742262672633
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,64,758911936,0.00008635521226096898
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,128,341378432,0.00019197464280296117
AVX-512 Merge Path Based Parallel Merge,8,32768,32768,256,52688884,0.00124382972717285156
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,2,450176736,0.00014557837857864797
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,4,631322688,0.00010380744788562879
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,8,958430656,0.00006837844557594508
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,16,1255150208,0.00005221366882324219
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,32,1209849984,0.00005416870044427924
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,64,868767104,0.00007543563697254285
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,128,392122560,0.00016713142395019531
AVX-512 Merge Path Based Parallel Merge,12,32768,32768,256,53178160,0.00123238563537597656
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,2,460432000,0.00014233589172363281
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,4,616318208,0.00010633468627929688
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,8,936232640,0.00006999969627941027
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,16,776491264,0.00008440017700195312
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,32,1204548224,0.00005440711902338080
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,64,869316544,0.00007538795762229711
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,128,410143104,0.00015978813462425023
AVX-512 Merge Path Based Parallel Merge,16,32768,32768,256,53534432,0.00122418405953794718
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,2,430573152,0.00015220642671920359
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,4,620491904,0.00010561943054199219
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,8,972674816,0.00006737709190929309
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,16,1235961856,0.00005302429053699598
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,32,1213053440,0.00005402565147960559
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,64,878765696,0.00007457732863258570
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,128,426035200,0.00015382767014671117
AVX-512 Merge Path Based Parallel Merge,20,32768,32768,256,55634292,0.00117797846905887127
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,2,396763744,0.00016517638869117945
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,4,664919936,0.00009856223914539441
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,8,991622976,0.00006608963303733617
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,16,1259752064,0.00005202293323236518
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,32,841119680,0.00007791518874000758
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,64,330620512,0.00019822121248580515
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,128,424456320,0.00015439986600540578
AVX-512 Merge Path Based Parallel Merge,24,32768,32768,256,54152464,0.00121021270751953125
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,2,425771232,0.00015392302884720266
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,4,595747520,0.00011000633094226941
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,8,996656704,0.00006575584120582789
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,16,1250581888,0.00005240440441411920
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,32,716948096,0.00009140968177234754
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,64,794444800,0.00008249282836914062
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,128,422889088,0.00015497207641601562
AVX-512 Merge Path Based Parallel Merge,28,32768,32768,256,50724840,0.00129199028015136719
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,2,215236016,0.00060896872309967875
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,4,262990736,0.00049839017447084188
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,8,301897760,0.00043416023254394531
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,16,279688544,0.00046863555326126516
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,32,463615936,0.00028271676274016500
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,64,713227584,0.00018377303786110133
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,128,501693536,0.00026125909062102437
AVX-512 Merge Path Based Parallel Merge,4,65536,65536,256,95813000,0.00136799807660281658
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,2,411925536,0.00031819342984817922
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,4,692911296,0.00018916130647994578
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,8,943948800,0.00013885498628951609
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,16,1422027392,0.00009217262413585559
AVX-512 Merge Path Based Parallel Merge,8,65536,65536,32,1291719424,0.00010147094872081652
