Name,Entropy,C Size,Number of Threads,Elements Per Second,Total Time
Standard,1,1048576,64,307319300,0.00341200828552246094
Bitonic,1,1048576,64,296364320,0.00353813171386718750
AVX-512 Optimized,1,1048576,64,228398759,0.00459098815917968750
haichuanwang,1,1048576,64,289745471,0.00361895561218261719
Standard,4,1048576,64,154452906,0.00678896903991699219
Bitonic,4,1048576,64,183221401,0.00572299957275390625
AVX-512 Optimized,4,1048576,64,297285826,0.00352716445922851562
haichuanwang,4,1048576,64,304996290,0.00343799591064453125
Standard,7,1048576,64,172323740,0.00608491897583007812
Bitonic,7,1048576,64,170334876,0.00615596771240234375
AVX-512 Optimized,7,1048576,64,515295431,0.00203490257263183594
haichuanwang,7,1048576,64,305887224,0.00342798233032226562
Standard,10,1048576,64,149263414,0.00702500343322753906
Bitonic,10,1048576,64,171644480,0.00610899925231933594
AVX-512 Optimized,10,1048576,64,612797340,0.00171113014221191406
haichuanwang,10,1048576,64,299757804,0.00349807739257812500
Standard,13,1048576,64,147170610,0.00712490081787109375
Bitonic,13,1048576,64,171310190,0.00612092018127441406
AVX-512 Optimized,13,1048576,64,618311051,0.00169587135314941406
haichuanwang,13,1048576,64,301587225,0.00347685813903808594
Standard,16,1048576,64,147003359,0.00713300704956054688
Bitonic,16,1048576,64,170612402,0.00614595413208007812
AVX-512 Optimized,16,1048576,64,631268338,0.00166106224060058594
haichuanwang,16,1048576,64,304468432,0.00344395637512207031
Standard,19,1048576,64,147333305,0.00711703300476074219
Bitonic,19,1048576,64,170084558,0.00616502761840820312
AVX-512 Optimized,19,1048576,64,603961344,0.00173616409301757812
haichuanwang,19,1048576,64,298395176,0.00351405143737792969
Standard,22,1048576,64,147313565,0.00711798667907714844
Bitonic,22,1048576,64,170084558,0.00616502761840820312
AVX-512 Optimized,22,1048576,64,614595655,0.00170612335205078125
haichuanwang,22,1048576,64,296204641,0.00354003906250000000
Standard,25,1048576,64,146944420,0.00713586807250976562
Bitonic,25,1048576,64,170724991,0.00614190101623535156
AVX-512 Optimized,25,1048576,64,616404556,0.00170111656188964844
haichuanwang,25,1048576,64,303753471,0.00345206260681152344
Standard,28,1048576,64,147333305,0.00711703300476074219
Bitonic,28,1048576,64,170559470,0.00614786148071289062
AVX-512 Optimized,28,1048576,64,608894712,0.00172209739685058594
haichuanwang,28,1048576,64,301587225,0.00347685813903808594
