Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 1000, 7598377, 0.00013160705566406250
Merge Sort using Serial Merge, 28, 1000, 6099031, 0.00016396045975852758
Merge Sort using Serial Merge Branchless, 28, 1000, 9381132, 0.00010659694817150012
Merge Sort using Bitonic Merge, 28, 1000, 5778074, 0.00017306805239059031
Quick Sort, 32, 1000, 13058231, 0.00007658005051780492
Merge Sort using Serial Merge, 32, 1000, 13521289, 0.00007395744614768773
Merge Sort using Serial Merge Branchless, 32, 1000, 15540215, 0.00006434917304432020
Merge Sort using Bitonic Merge, 32, 1000, 17863304, 0.00005598068310064264
Quick Sort, 28, 10000, 9659176, 0.00103528494946658611
Merge Sort using Serial Merge, 28, 10000, 10286964, 0.00097210408421233296
Merge Sort using Serial Merge Branchless, 28, 10000, 12319520, 0.00081171991769224405
Merge Sort using Bitonic Merge, 28, 10000, 14786899, 0.00067627429962158203
Quick Sort, 32, 10000, 9005871, 0.00111038680188357830
Merge Sort using Serial Merge, 32, 10000, 9551830, 0.00104691984597593546
Merge Sort using Serial Merge Branchless, 32, 10000, 11587755, 0.00086297991219907999
Merge Sort using Bitonic Merge, 32, 10000, 13888424, 0.00072002410888671875
Quick Sort, 28, 100000, 7937128, 0.01259901560842990875
Merge Sort using Serial Merge, 28, 100000, 8631072, 0.01158604584634304047
Merge Sort using Serial Merge Branchless, 28, 100000, 10684274, 0.00935955066233873367
Merge Sort using Bitonic Merge, 28, 100000, 13442679, 0.00743899354711174965
Quick Sort, 32, 100000, 8055729, 0.01241352595388889313
Merge Sort using Serial Merge, 32, 100000, 8499854, 0.01176490820944309235
Merge Sort using Serial Merge Branchless, 32, 100000, 10440215, 0.00957834720611572266
Merge Sort using Bitonic Merge, 32, 100000, 13494058, 0.00741066923364996910
Quick Sort, 28, 1000000, 6552578, 0.15261168777942657471
Merge Sort using Serial Merge, 28, 1000000, 7344594, 0.13615456223487854004
Merge Sort using Serial Merge Branchless, 28, 1000000, 9283437, 0.10771872848272323608
Merge Sort using Bitonic Merge, 28, 1000000, 12280148, 0.08143224567174911499
Quick Sort, 32, 1000000, 6654580, 0.15027244389057159424
Merge Sort using Serial Merge, 32, 1000000, 7445512, 0.13430909812450408936
Merge Sort using Serial Merge Branchless, 32, 1000000, 9445010, 0.10587601363658905029
Merge Sort using Bitonic Merge, 32, 1000000, 12514629, 0.07990648597478866577
