Name,Entropy,C Size,Elements Per Second,Total Time
Merge Sort Standard,4,65536,2811294,0.02331168577075004578
SSE Bitonic Based Merge Sort,4,65536,3167256,0.02069172821938991547
AVX-512 Merge Path Based Sort,4,65536,3180636,0.02060468122363090515
AVX-512 Hybrid Merge Sort,4,65536,13553737,0.00483527174219489098
Intel IPP Sort,4,65536,18033176,0.00363419065251946449
Quick Sort,4,65536,1912230,0.03427202627062797546
Merge Sort Standard,8,65536,2713401,0.02415270730853080750
SSE Bitonic Based Merge Sort,8,65536,2997346,0.02186467684805393219
AVX-512 Merge Path Based Sort,8,65536,3121945,0.02099204063415527344
AVX-512 Hybrid Merge Sort,8,65536,12790314,0.00512387743219733238
Intel IPP Sort,8,65536,8600416,0.00762009620666503906
Quick Sort,8,65536,1768130,0.03706514835357666016
Merge Sort Standard,12,65536,2714007,0.02414732053875923157
SSE Bitonic Based Merge Sort,12,65536,2964531,0.02210669592022895813
AVX-512 Merge Path Based Sort,12,65536,3116314,0.02102997340261936188
AVX-512 Hybrid Merge Sort,12,65536,12163816,0.00538778305053710938
Intel IPP Sort,12,65536,5555266,0.01179709471762180328
Quick Sort,12,65536,1710946,0.03830394893884658813
Merge Sort Standard,16,65536,2715031,0.02413821220397949219
SSE Bitonic Based Merge Sort,16,65536,2961736,0.02212755754590034485
AVX-512 Merge Path Based Sort,16,65536,3119443,0.02100887335836887360
AVX-512 Hybrid Merge Sort,16,65536,12149837,0.00539398193359375000
Intel IPP Sort,16,65536,4136170,0.01584460772573947906
Quick Sort,16,65536,1685592,0.03888010978698730469
Merge Sort Standard,20,65536,2710023,0.02418282069265842438
SSE Bitonic Based Merge Sort,20,65536,2959743,0.02214245870709419250
AVX-512 Merge Path Based Sort,20,65536,3116992,0.02102539502084255219
AVX-512 Hybrid Merge Sort,20,65536,12079041,0.00542559614405035973
Intel IPP Sort,20,65536,4077242,0.01607360877096652985
Quick Sort,20,65536,1683357,0.03893172740936279297
Merge Sort Standard,24,65536,2713822,0.02414896525442600250
SSE Bitonic Based Merge Sort,24,65536,2959249,0.02214615419507026672
AVX-512 Merge Path Based Sort,24,65536,3122530,0.02098810672760009766
AVX-512 Hybrid Merge Sort,24,65536,12165054,0.00538723450154066086
Intel IPP Sort,24,65536,4079118,0.01606621779501438141
Quick Sort,24,65536,1684345,0.03890888765454292297
Merge Sort Standard,28,65536,2714221,0.02414541319012641907
SSE Bitonic Based Merge Sort,28,65536,2961969,0.02212581597268581390
AVX-512 Merge Path Based Sort,28,65536,3124496,0.02097489871084690094
AVX-512 Hybrid Merge Sort,28,65536,12162470,0.00538837909698486328
Intel IPP Sort,28,65536,4095943,0.01600022241473197937
Quick Sort,28,65536,1686689,0.03885481506586074829
Merge Sort Standard,4,131072,2705725,0.04844246059656143188
SSE Bitonic Based Merge Sort,4,131072,3070671,0.04268512874841690063
AVX-512 Merge Path Based Sort,4,131072,3054879,0.04290578514337539673
AVX-512 Hybrid Merge Sort,4,131072,11566793,0.01133174914866685867
Intel IPP Sort,4,131072,18226528,0.00719127664342522621
Quick Sort,4,131072,1815022,0.07221508026123046875
Merge Sort Standard,8,131072,2611256,0.05019500106573104858
SSE Bitonic Based Merge Sort,8,131072,2911197,0.04502339288592338562
AVX-512 Merge Path Based Sort,8,131072,3000739,0.04367990419268608093
AVX-512 Hybrid Merge Sort,8,131072,10987732,0.01192894019186496735
Intel IPP Sort,8,131072,8602260,0.01523692626506090164
Quick Sort,8,131072,1681174,0.07796454429626464844
Merge Sort Standard,12,131072,2609264,0.05023331567645072937
SSE Bitonic Based Merge Sort,12,131072,2870089,0.04566826671361923218
AVX-512 Merge Path Based Sort,12,131072,2996178,0.04374640062451362610
AVX-512 Hybrid Merge Sort,12,131072,10506240,0.01247563399374485016
Intel IPP Sort,12,131072,5568986,0.02353606186807155609
Quick Sort,12,131072,1625340,0.08064279705286026001
Merge Sort Standard,16,131072,2605962,0.05029697343707084656
SSE Bitonic Based Merge Sort,16,131072,2860340,0.04582390934228897095
AVX-512 Merge Path Based Sort,16,131072,2993906,0.04377958923578262329
AVX-512 Hybrid Merge Sort,16,131072,10433284,0.01256287097930908203
Intel IPP Sort,16,131072,3973151,0.03298943117260932922
Quick Sort,16,131072,1590812,0.08239309489727020264
Merge Sort Standard,20,131072,2608217,0.05025348812341690063
SSE Bitonic Based Merge Sort,20,131072,2866289,0.04572880268096923828
AVX-512 Merge Path Based Sort,20,131072,2999439,0.04369883611798286438
AVX-512 Hybrid Merge Sort,20,131072,10496050,0.01248774491250514984
Intel IPP Sort,20,131072,3857675,0.03397693485021591187
Quick Sort,20,131072,1590940,0.08238651603460311890
Merge Sort Standard,24,131072,2603180,0.05035071447491645813
SSE Bitonic Based Merge Sort,24,131072,2858728,0.04584975168108940125
AVX-512 Merge Path Based Sort,24,131072,2993217,0.04378967359662055969
AVX-512 Hybrid Merge Sort,24,131072,10367099,0.01264307461678981781
Intel IPP Sort,24,131072,3841993,0.03411562368273735046
Quick Sort,24,131072,1588949,0.08248972892761230469
Merge Sort Standard,28,131072,2608030,0.05025708675384521484
SSE Bitonic Based Merge Sort,28,131072,2865383,0.04574327543377876282
AVX-512 Merge Path Based Sort,28,131072,2996439,0.04374258592724800110
AVX-512 Hybrid Merge Sort,28,131072,10442559,0.01255171280354261398
Intel IPP Sort,28,131072,3836740,0.03416233137249946594
Quick Sort,28,131072,1590023,0.08243398368358612061
Merge Sort Standard,4,262144,2615483,0.10022773593664169312
SSE Bitonic Based Merge Sort,4,262144,2990885,0.08764763176441192627
AVX-512 Merge Path Based Sort,4,262144,2947136,0.08894870430231094360
AVX-512 Hybrid Merge Sort,4,262144,10118025,0.02590861357748508453
Intel IPP Sort,4,262144,18067908,0.01450881920754909515
Quick Sort,4,262144,1727470,0.15175023674964904785
Merge Sort Standard,8,262144,2522984,0.10390236228704452515
SSE Bitonic Based Merge Sort,8,262144,2837940,0.09237122535705566406
AVX-512 Merge Path Based Sort,8,262144,2885703,0.09084232151508331299
AVX-512 Hybrid Merge Sort,8,262144,9814439,0.02671003341674804688
Intel IPP Sort,8,262144,8582512,0.03054397180676460266
Quick Sort,8,262144,1600195,0.16381993889808654785
Merge Sort Standard,12,262144,2519086,0.10406310856342315674
SSE Bitonic Based Merge Sort,12,262144,2796734,0.09373219311237335205
AVX-512 Merge Path Based Sort,12,262144,2874738,0.09118883311748504639
AVX-512 Hybrid Merge Sort,12,262144,9384429,0.02793393097817897797
Intel IPP Sort,12,262144,5615394,0.04668309539556503296
Quick Sort,12,262144,1549216,0.16921070218086242676
Merge Sort Standard,16,262144,2520375,0.10400988906621932983
SSE Bitonic Based Merge Sort,16,262144,2783083,0.09419193118810653687
AVX-512 Merge Path Based Sort,16,262144,2879502,0.09103796631097793579
AVX-512 Hybrid Merge Sort,16,262144,9231022,0.02839815616607666016
Intel IPP Sort,16,262144,3961291,0.06617639213800430298
Quick Sort,16,262144,1512128,0.17336089909076690674
Merge Sort Standard,20,262144,2519971,0.10402657836675643921
SSE Bitonic Based Merge Sort,20,262144,2784586,0.09414108097553253174
AVX-512 Merge Path Based Sort,20,262144,2880779,0.09099759906530380249
AVX-512 Hybrid Merge Sort,20,262144,9235186,0.02838535234332084656
Intel IPP Sort,20,262144,3646954,0.07188024371862411499
Quick Sort,20,262144,1507558,0.17388649284839630127
Merge Sort Standard,24,262144,2519307,0.10405399650335311890
SSE Bitonic Based Merge Sort,24,262144,2783151,0.09418964385986328125
AVX-512 Merge Path Based Sort,24,262144,2881596,0.09097178280353546143
AVX-512 Hybrid Merge Sort,24,262144,9243718,0.02835915051400661469
Intel IPP Sort,24,262144,3650228,0.07181577384471893311
Quick Sort,24,262144,1507700,0.17387013137340545654
Merge Sort Standard,28,262144,2520619,0.10399985313415527344
SSE Bitonic Based Merge Sort,28,262144,2784771,0.09413485229015350342
AVX-512 Merge Path Based Sort,28,262144,2877484,0.09110178798437118530
AVX-512 Hybrid Merge Sort,28,262144,9240548,0.02836887910962104797
Intel IPP Sort,28,262144,3630306,0.07220987975597381592
Quick Sort,28,262144,1507943,0.17384202778339385986
Merge Sort Standard,4,524288,2534487,0.20686152577400207520
SSE Bitonic Based Merge Sort,4,524288,2923431,0.17933996021747589111
AVX-512 Merge Path Based Sort,4,524288,2789484,0.18795159459114074707
AVX-512 Hybrid Merge Sort,4,524288,9182573,0.05709598213434219360
