Name,Entropy,C Size,Elements Per Second,Total Time
Intel IPP Sort,4,262144,18008838,0.01455640792846679688
Intel IPP Sort,8,262144,8604771,0.03046495839953422546
Intel IPP Sort,12,262144,5615698,0.04668056964874267578
Intel IPP Sort,16,262144,3944183,0.06646344810724258423
Intel IPP Sort,20,262144,3638942,0.07203850895166397095
Intel IPP Sort,24,262144,3634513,0.07212629169225692749
Intel IPP Sort,28,262144,3635749,0.07210178673267364502
Intel IPP Sort,4,524288,18188642,0.02882502041757106781
Intel IPP Sort,8,524288,8535021,0.06142785400152206421
Intel IPP Sort,12,524288,5610864,0.09344158321619033813
Intel IPP Sort,16,524288,4080262,0.12849369645118713379
Intel IPP Sort,20,524288,3452357,0.15186376869678497314
Intel IPP Sort,24,524288,3440119,0.15240402519702911377
Intel IPP Sort,28,524288,3440458,0.15238897502422332764
Intel IPP Sort,4,1048576,18111500,0.05789558961987495422
Intel IPP Sort,8,1048576,8576034,0.12226817756891250610
Intel IPP Sort,12,1048576,5629055,0.18627922236919403076
Intel IPP Sort,16,1048576,4124980,0.25420147180557250977
Intel IPP Sort,20,1048576,3290529,0.31866478919982910156
Intel IPP Sort,24,1048576,3276302,0.32004863023757934570
Intel IPP Sort,28,1048576,3266453,0.32101365923881530762
Intel IPP Sort,4,2097152,17858504,0.11743156611919403076
Intel IPP Sort,8,2097152,8592749,0.24406066536903381348
Intel IPP Sort,12,2097152,5619880,0.37316665053367614746
Intel IPP Sort,16,2097152,4149541,0.50539374351501464844
Intel IPP Sort,20,2097152,3192186,0.65696418285369873047
Intel IPP Sort,24,2097152,3118193,0.67255347967147827148
Intel IPP Sort,28,2097152,3112452,0.67379415035247802734
Intel IPP Sort,4,4194304,17982398,0.23324497044086456299
Intel IPP Sort,8,4194304,8565720,0.48966160416603088379
Intel IPP Sort,12,4194304,5624770,0.74568450450897216797
Intel IPP Sort,16,4194304,4171865,1.00537848472595214844
Intel IPP Sort,20,4194304,3181273,1.31843554973602294922
Intel IPP Sort,24,4194304,2978040,1.40841078758239746094
Intel IPP Sort,28,4194304,2968358,1.41300439834594726562
Intel IPP Sort,4,8388608,17597518,0.47669267654418945312
Intel IPP Sort,8,8388608,8489397,0.98812770843505859375
Intel IPP Sort,12,8388608,5611549,1.49488282203674316406
Intel IPP Sort,16,8388608,4177887,2.00785899162292480469
Intel IPP Sort,20,8388608,3262049,2.57157611846923828125
Intel IPP Sort,24,8388608,2847057,2.94641327857971191406
Intel IPP Sort,28,8388608,2842756,2.95087146759033203125
Intel IPP Sort,4,16777216,17636330,0.95128726959228515625
Intel IPP Sort,8,16777216,8542505,1.96396923065185546875
Intel IPP Sort,12,16777216,5614463,2.98821377754211425781
Intel IPP Sort,16,16777216,4186502,4.00745439529418945312
Intel IPP Sort,20,16777216,3293995,5.09327268600463867188
Intel IPP Sort,24,16777216,2744405,6.11324167251586914062
Intel IPP Sort,28,16777216,2720919,6.16600894927978515625
Intel IPP Sort,4,33554432,17822676,1.88268208503723144531
Intel IPP Sort,8,33554432,8500323,3.94743013381958007812
Intel IPP Sort,12,33554432,5606195,5.98524188995361328125
Intel IPP Sort,16,33554432,4185435,8.01695156097412109375
Intel IPP Sort,20,33554432,3310990,10.13425922393798828125
Intel IPP Sort,24,33554432,2665913,12.58646583557128906250
Intel IPP Sort,28,33554432,2614174,12.83557415008544921875
