Name, Entropy, A Size, B Size, Elements Per Second, Total Time
Serial Merge, 28, 5000, 5000, 115832752, 0.00008633136894786730
Serial Merge Branchless, 28, 5000, 5000, 203114000, 0.00004923343658447266
Bitonic Merge, 28, 5000, 5000, 346064704, 0.00002889633105951361
Serial Merge, 32, 5000, 5000, 146449168, 0.00006828307959949598
Serial Merge Branchless, 32, 5000, 5000, 238991680, 0.00004184246063232422
Bitonic Merge, 32, 5000, 5000, 432848704, 0.00002310276067873929
Serial Merge, 28, 5000, 5000, 162885600, 0.00006139278411865234
Serial Merge Branchless, 28, 5000, 5000, 265967280, 0.00003759860919672064
Bitonic Merge, 28, 5000, 5000, 540503104, 0.00001850128137448337
Serial Merge, 32, 5000, 5000, 165782768, 0.00006031990051269531
Serial Merge Branchless, 32, 5000, 5000, 256846528, 0.00003893375469488092
Bitonic Merge, 32, 5000, 5000, 519740288, 0.00001924037860590033
Serial Merge, 28, 5000, 5000, 165065088, 0.00006058216240489855
Serial Merge Branchless, 28, 5000, 5000, 257161488, 0.00003888607170665637
Bitonic Merge, 28, 5000, 5000, 527585408, 0.00001895427703857422
Serial Merge, 32, 5000, 5000, 166242720, 0.00006015300823491998
Serial Merge Branchless, 32, 5000, 5000, 257319264, 0.00003886222839355469
Bitonic Merge, 32, 5000, 5000, 525601984, 0.00001902580333990045
Serial Merge, 28, 5000, 5000, 164353600, 0.00006084442065912299
Serial Merge Branchless, 28, 5000, 5000, 256062512, 0.00003905296398443170
Bitonic Merge, 28, 5000, 5000, 516539936, 0.00001935958789545111
Serial Merge, 32, 5000, 5000, 166176864, 0.00006017684791004285
Serial Merge Branchless, 32, 5000, 5000, 257003920, 0.00003890991138177924
Bitonic Merge, 32, 5000, 5000, 523633472, 0.00001909732782223728
Serial Merge, 28, 5000, 5000, 161817280, 0.00006179809861350805
Serial Merge Branchless, 28, 5000, 5000, 259548512, 0.00003852844383800402
Bitonic Merge, 28, 5000, 5000, 517815296, 0.00001931190490722656
Serial Merge, 32, 5000, 5000, 165521072, 0.00006041526648914441
Serial Merge Branchless, 32, 5000, 5000, 256375536, 0.00003900528099620715
Bitonic Merge, 32, 5000, 5000, 518455360, 0.00001928806341311429
Serial Merge, 28, 5000, 5000, 147530928, 0.00006778239912819117
Serial Merge Branchless, 28, 5000, 5000, 237637616, 0.00004208087921142578
Bitonic Merge, 28, 5000, 5000, 395316128, 0.00002529621087887790
Serial Merge, 32, 5000, 5000, 168920816, 0.00005919933391851373
Serial Merge Branchless, 32, 5000, 5000, 264124928, 0.00003786087108892389
Bitonic Merge, 32, 5000, 5000, 541200512, 0.00001847743988037109
Serial Merge, 28, 5000, 5000, 166904256, 0.00005991458965581842
Serial Merge Branchless, 28, 5000, 5000, 258588416, 0.00003867149280267768
Bitonic Merge, 28, 5000, 5000, 539807488, 0.00001852512286859564
Serial Merge, 32, 5000, 5000, 166440640, 0.00006008148193359375
Serial Merge Branchless, 32, 5000, 5000, 251758928, 0.00003972053673351184
Bitonic Merge, 32, 5000, 5000, 526261504, 0.00001900196002679877
Serial Merge, 28, 5000, 5000, 137834512, 0.00007255077071022242
Serial Merge Branchless, 28, 5000, 5000, 239400912, 0.00004177093433099799
Bitonic Merge, 28, 5000, 5000, 404075520, 0.00002474784923833795
Serial Merge, 32, 5000, 5000, 156855056, 0.00006375312659656629
Serial Merge Branchless, 32, 5000, 5000, 250406208, 0.00003993511199951172
Bitonic Merge, 32, 5000, 5000, 479897472, 0.00002083778417727444
Serial Merge, 28, 5000, 5000, 165521072, 0.00006041526648914441
Serial Merge Branchless, 28, 5000, 5000, 257952272, 0.00003876686241710559
Bitonic Merge, 28, 5000, 5000, 518455360, 0.00001928806341311429
Serial Merge, 32, 5000, 5000, 155344592, 0.00006437301635742188
Serial Merge Branchless, 32, 5000, 5000, 241468288, 0.00004141330646234564
Bitonic Merge, 32, 5000, 5000, 459901760, 0.00002174377368646674
Serial Merge, 28, 5000, 5000, 166176864, 0.00006017684791004285
Serial Merge Branchless, 28, 5000, 5000, 258429072, 0.00003869533611577936
Bitonic Merge, 28, 5000, 5000, 526261504, 0.00001900196002679877
Serial Merge, 32, 5000, 5000, 163904032, 0.00006101131293689832
Serial Merge Branchless, 32, 5000, 5000, 255750240, 0.00003910064697265625
Bitonic Merge, 32, 5000, 5000, 515270752, 0.00001940727270266507
Serial Merge, 28, 500, 500, 167103744, 0.00000598430642639869
Serial Merge Branchless, 28, 500, 500, 270600256, 0.00000369548797607422
Bitonic Merge, 28, 500, 500, 517815296, 0.00000193119058167213
