Name, Entropy, C Size, Number of Threads, Elements Per Second, Total Time
Parallel Merge Sort using Serial Merge, 28, 10000, 5, 5788121, 0.00172767636831849813
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 5, 8370361, 0.00119469163473695517
Parallel Merge Sort using Bitonic Merge, 28, 10000, 5, 8751442, 0.00114266877062618732
Parallel Merge Sort using Serial Merge, 32, 10000, 5, 17515676, 0.00057091715279966593
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 5, 18234520, 0.00054841040400788188
Parallel Merge Sort using Bitonic Merge, 32, 10000, 5, 19088444, 0.00052387715550139546
Parallel Merge Sort using Serial Merge, 28, 10000, 6, 16750415, 0.00059700012207031250
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 6, 17308232, 0.00057775975437834859
Parallel Merge Sort using Bitonic Merge, 28, 10000, 6, 19175714, 0.00052149296971037984
Parallel Merge Sort using Serial Merge, 32, 10000, 6, 16584832, 0.00060296058654785156
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 6, 18883904, 0.00052955152932554483
Parallel Merge Sort using Bitonic Merge, 32, 10000, 6, 19767668, 0.00050587655277922750
Parallel Merge Sort using Serial Merge, 28, 10000, 7, 10831557, 0.00092322827549651265
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 7, 15859281, 0.00063054560450837016
Parallel Merge Sort using Bitonic Merge, 28, 10000, 7, 12274096, 0.00081472395686432719
Parallel Merge Sort using Serial Merge, 32, 10000, 7, 16444381, 0.00060811045113950968
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 7, 14871836, 0.00067241193028166890
Parallel Merge Sort using Bitonic Merge, 32, 10000, 7, 18872008, 0.00052988529205322266
Parallel Merge Sort using Serial Merge, 28, 10000, 8, 15451479, 0.00064718723297119141
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 8, 17969684, 0.00055649282876402140
Parallel Merge Sort using Bitonic Merge, 28, 10000, 8, 18804322, 0.00053179264068603516
Parallel Merge Sort using Serial Merge, 32, 10000, 8, 13589192, 0.00073587894439697266
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 8, 17088222, 0.00058519840240478516
Parallel Merge Sort using Bitonic Merge, 32, 10000, 8, 18416264, 0.00054299831390380859
Parallel Merge Sort using Serial Merge, 28, 10000, 11, 13817962, 0.00072369573172181845
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 11, 15299862, 0.00065360066946595907
Parallel Merge Sort using Bitonic Merge, 28, 10000, 11, 16170499, 0.00061841012211516500
Parallel Merge Sort using Serial Merge, 32, 10000, 11, 14397584, 0.00069456099299713969
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 11, 15025808, 0.00066552159842103720
Parallel Merge Sort using Bitonic Merge, 32, 10000, 11, 16013072, 0.00062448979588225484
Parallel Merge Sort using Serial Merge, 28, 10000, 22, 10773964, 0.00092816352844238281
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 22, 10943185, 0.00091381074162200093
Parallel Merge Sort using Bitonic Merge, 28, 10000, 22, 11705143, 0.00085432530613616109
Parallel Merge Sort using Serial Merge, 32, 10000, 22, 10538452, 0.00094890594482421875
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 22, 10197924, 0.00098059175070375204
Parallel Merge Sort using Bitonic Merge, 32, 10000, 22, 11129903, 0.00089848041534423828
Parallel Merge Sort using Serial Merge, 28, 10000, 32, 8455576, 0.00118265149649232626
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 32, 9751701, 0.00102546217385679483
Parallel Merge Sort using Bitonic Merge, 28, 10000, 32, 9644073, 0.00103690626565366983
Parallel Merge Sort using Serial Merge, 32, 10000, 32, 5054596, 0.00197839736938476562
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 32, 5996403, 0.00166766648180782795
Parallel Merge Sort using Bitonic Merge, 32, 10000, 32, 5026670, 0.00198938837274909019
Parallel Merge Sort using Serial Merge, 28, 10000, 36, 6889800, 0.00145142083056271076
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 36, 6945592, 0.00143976206891238689
Parallel Merge Sort using Bitonic Merge, 28, 10000, 36, 7422890, 0.00134718418121337891
Parallel Merge Sort using Serial Merge, 32, 10000, 36, 7135840, 0.00140137667767703533
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 36, 7106701, 0.00140712258871644735
Parallel Merge Sort using Bitonic Merge, 32, 10000, 36, 7030463, 0.00142238137777894735
Parallel Merge Sort using Serial Merge, 28, 10000, 68, 3653479, 0.00273711676709353924
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 68, 3640225, 0.00274708261713385582
Parallel Merge Sort using Bitonic Merge, 28, 10000, 68, 3878945, 0.00257802009582519531
Parallel Merge Sort using Serial Merge, 32, 10000, 68, 3913071, 0.00255553727038204670
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 68, 3919470, 0.00255136494524776936
Parallel Merge Sort using Bitonic Merge, 32, 10000, 68, 4081809, 0.00244989385828375816
Parallel Merge Sort using Serial Merge, 28, 10000, 72, 3731454, 0.00267992028966546059
Parallel Merge Sort using Serial Merge Branchless, 28, 10000, 72, 3784346, 0.00264246459119021893
Parallel Merge Sort using Bitonic Merge, 28, 10000, 72, 3805254, 0.00262794503942131996
Parallel Merge Sort using Serial Merge, 32, 10000, 72, 3534545, 0.00282921781763434410
Parallel Merge Sort using Serial Merge Branchless, 32, 10000, 72, 3474464, 0.00287814135663211346
Parallel Merge Sort using Bitonic Merge, 32, 10000, 72, 3863403, 0.00258839130401611328
Parallel Merge Sort using Serial Merge, 28, 1000, 5, 5207727, 0.00019202232942916453
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 5, 8854346, 0.00011293888383079320
Parallel Merge Sort using Bitonic Merge, 28, 1000, 5, 9308264, 0.00010743141319835559
Parallel Merge Sort using Serial Merge, 32, 1000, 5, 9326893, 0.00010721683793235570
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 5, 9861989, 0.00010139941878151149
Parallel Merge Sort using Bitonic Merge, 32, 1000, 5, 10046237, 0.00009953975677490234
Parallel Merge Sort using Serial Merge, 28, 1000, 6, 7850092, 0.00012738704390358180
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 6, 8300621, 0.00012047290510963649
Parallel Merge Sort using Bitonic Merge, 28, 1000, 6, 8745421, 0.00011434555199230090
Parallel Merge Sort using Serial Merge, 32, 1000, 6, 8632031, 0.00011584758613025770
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 6, 9224332, 0.00010840893082786351
Parallel Merge Sort using Bitonic Merge, 32, 1000, 6, 8983303, 0.00011131763312732801
Parallel Merge Sort using Serial Merge, 28, 1000, 7, 7052806, 0.00014178753190208226
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 7, 5310590, 0.00018830299086403102
Parallel Merge Sort using Bitonic Merge, 28, 1000, 7, 4273361, 0.00023400783538818359
Parallel Merge Sort using Serial Merge, 32, 1000, 7, 7044514, 0.00014195442781783640
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 7, 7669233, 0.00013039112673141062
Parallel Merge Sort using Bitonic Merge, 32, 1000, 7, 7674847, 0.00013029575347900391
Parallel Merge Sort using Serial Merge, 28, 1000, 8, 8289138, 0.00012063980102539062
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 8, 8471630, 0.00011804103996837512
Parallel Merge Sort using Bitonic Merge, 28, 1000, 8, 8818974, 0.00011339187767589465
Parallel Merge Sort using Serial Merge, 32, 1000, 8, 1737203, 0.00057563779409974813
Parallel Merge Sort using Serial Merge Branchless, 32, 1000, 8, 5736192, 0.00017433166794944555
Parallel Merge Sort using Bitonic Merge, 32, 1000, 8, 2092652, 0.00047786236973479390
Parallel Merge Sort using Serial Merge, 28, 1000, 11, 3403915, 0.00029377936152741313
Parallel Merge Sort using Serial Merge Branchless, 28, 1000, 11, 3499919, 0.00028572083101607859
