Name, Entropy, C Size, Elements Per Second, Total Time
Quick Sort, 28, 10000, 7948273, 0.00125813484191894531
Merge Sort using Serial Merge, 28, 10000, 8590308, 0.00116410257760435343
Merge Sort using Serial Merge Branchless, 28, 10000, 10431776, 0.00095860956935212016
Merge Sort using Bitonic Merge, 28, 10000, 11985438, 0.00083434581756591797
Quick Sort, 32, 10000, 9576255, 0.00104424951132386923
Merge Sort using Serial Merge, 32, 10000, 10444244, 0.00095746514853090048
Merge Sort using Serial Merge Branchless, 32, 10000, 12321692, 0.00081157684326171875
Merge Sort using Bitonic Merge, 32, 10000, 14930600, 0.00066976546077057719
Quick Sort, 28, 10000, 9875225, 0.00101263518445193768
Merge Sort using Serial Merge, 28, 10000, 10435928, 0.00095822813455015421
Merge Sort using Serial Merge Branchless, 28, 10000, 12493459, 0.00080041884211823344
Merge Sort using Bitonic Merge, 28, 10000, 15366002, 0.00065078737679868937
Quick Sort, 32, 10000, 9154871, 0.00109231472015380859
Merge Sort using Serial Merge, 32, 10000, 9687062, 0.00103230471722781658
Merge Sort using Serial Merge Branchless, 32, 10000, 11755666, 0.00085065362509340048
Merge Sort using Bitonic Merge, 32, 10000, 13614334, 0.00073451997013762593
Quick Sort, 28, 10000, 9868951, 0.00101327896118164062
Merge Sort using Serial Merge, 28, 10000, 10626024, 0.00094108580378815532
Merge Sort using Serial Merge Branchless, 28, 10000, 12509482, 0.00079939363058656454
Merge Sort using Bitonic Merge, 28, 10000, 15357562, 0.00065114500466734171
Quick Sort, 32, 10000, 9576911, 0.00104417803231626749
Merge Sort using Serial Merge, 32, 10000, 10365520, 0.00096473691519349813
Merge Sort using Serial Merge Branchless, 32, 10000, 12257595, 0.00081582070561125875
Merge Sort using Bitonic Merge, 32, 10000, 14991972, 0.00066702364711090922
Quick Sort, 28, 10000, 9889660, 0.00101115705911070108
Merge Sort using Serial Merge, 28, 10000, 10595690, 0.00094377994537353516
Merge Sort using Serial Merge Branchless, 28, 10000, 12509108, 0.00079941749572753906
Merge Sort using Bitonic Merge, 28, 10000, 15278683, 0.00065450667170807719
Quick Sort, 32, 10000, 9849715, 0.00101525778882205486
Merge Sort using Serial Merge, 32, 10000, 10605872, 0.00094287394313141704
Merge Sort using Serial Merge Branchless, 32, 10000, 12515081, 0.00079903600271791220
Merge Sort using Bitonic Merge, 32, 10000, 15388552, 0.00064983370248228312
Quick Sort, 28, 10000, 9779440, 0.00102255342062562704
Merge Sort using Serial Merge, 28, 10000, 10694572, 0.00093505380209535360
Merge Sort using Serial Merge Branchless, 28, 10000, 12528164, 0.00079820153769105673
Merge Sort using Bitonic Merge, 28, 10000, 15669683, 0.00063817499903962016
Quick Sort, 32, 10000, 9865236, 0.00101366045419126749
Merge Sort using Serial Merge, 32, 10000, 10625485, 0.00094113347586244345
Merge Sort using Serial Merge Branchless, 32, 10000, 12517321, 0.00079889298649504781
Merge Sort using Bitonic Merge, 32, 10000, 15357001, 0.00065116881160065532
Quick Sort, 28, 10000, 9846247, 0.00101561541669070721
Merge Sort using Serial Merge, 28, 10000, 10596226, 0.00094373227329924703
Merge Sort using Serial Merge Branchless, 28, 10000, 12489366, 0.00080068112583830953
Merge Sort using Bitonic Merge, 28, 10000, 15322778, 0.00065262318821623921
Quick Sort, 32, 10000, 8046009, 0.00124285218771547079
Merge Sort using Serial Merge, 32, 10000, 8386762, 0.00119235517922788858
Merge Sort using Serial Merge Branchless, 32, 10000, 10095809, 0.00099050998687744141
Merge Sort using Bitonic Merge, 32, 10000, 11975856, 0.00083501340122893453
Quick Sort, 28, 10000, 9855964, 0.00101461412850767374
Merge Sort using Serial Merge, 28, 10000, 10616878, 0.00094189646188169718
Merge Sort using Serial Merge Branchless, 28, 10000, 12505005, 0.00079967977944761515
Merge Sort using Bitonic Merge, 28, 10000, 15359813, 0.00065104960231110454
Quick Sort, 32, 10000, 10293276, 0.00097150803776457906
Merge Sort using Serial Merge, 32, 10000, 11140546, 0.00089762208517640829
Merge Sort using Serial Merge Branchless, 32, 10000, 13291200, 0.00075237749842926860
Merge Sort using Bitonic Merge, 32, 10000, 15977692, 0.00062587263528257608
Quick Sort, 28, 10000, 9758734, 0.00102472305297851562
Merge Sort using Serial Merge, 28, 10000, 10512831, 0.00095121859339997172
Merge Sort using Serial Merge Branchless, 28, 10000, 12431987, 0.00080437661381438375
Merge Sort using Bitonic Merge, 28, 10000, 15456603, 0.00064697267953306437
Quick Sort, 32, 10000, 9741282, 0.00102655892260372639
Merge Sort using Serial Merge, 32, 10000, 10512304, 0.00095126626547425985
Merge Sort using Serial Merge Branchless, 32, 10000, 12470799, 0.00080187321873381734
Merge Sort using Bitonic Merge, 32, 10000, 14793680, 0.00067596434382721782
Quick Sort, 28, 10000, 8685477, 0.00115134718362241983
Merge Sort using Serial Merge, 28, 10000, 9185345, 0.00108869071118533611
Merge Sort using Serial Merge Branchless, 28, 10000, 11082848, 0.00090229511260986328
Merge Sort using Bitonic Merge, 28, 10000, 13060265, 0.00076568126678466797
Quick Sort, 32, 10000, 9853186, 0.00101490016095340252
Merge Sort using Serial Merge, 32, 10000, 10481829, 0.00095403194427490234
Merge Sort using Serial Merge Branchless, 32, 10000, 12010836, 0.00083258154336363077
Merge Sort using Bitonic Merge, 32, 10000, 14570638, 0.00068631174508482218
Quick Sort, 28, 10000, 10118216, 0.00098831648938357830
Merge Sort using Serial Merge, 28, 10000, 10788929, 0.00092687609139829874
Merge Sort using Serial Merge Branchless, 28, 10000, 12705007, 0.00078709126682952046
Merge Sort using Bitonic Merge, 28, 10000, 15635219, 0.00063958170358091593
Quick Sort, 32, 10000, 8253417, 0.00121161935385316610
Merge Sort using Serial Merge, 32, 10000, 8316091, 0.00120248796883970499
Merge Sort using Serial Merge Branchless, 32, 10000, 11005494, 0.00090863707009702921
Merge Sort using Bitonic Merge, 32, 10000, 12825049, 0.00077972409781068563
Quick Sort, 28, 1000, 13041990, 0.00007667541649425402
Merge Sort using Serial Merge, 28, 1000, 13344907, 0.00007493495650123805
Merge Sort using Serial Merge Branchless, 28, 1000, 15603810, 0.00006408691115211695
Merge Sort using Bitonic Merge, 28, 1000, 17909070, 0.00005583763049799018
Quick Sort, 32, 1000, 13152412, 0.00007603168342029676
Merge Sort using Serial Merge, 32, 1000, 13644450, 0.00007328986976062879
Merge Sort using Serial Merge Branchless, 32, 1000, 12618243, 0.00007925033423816785
Merge Sort using Bitonic Merge, 32, 1000, 18493404, 0.00005407333446783014
Quick Sort, 28, 1000, 13021745, 0.00007679462578380480
Merge Sort using Serial Merge, 28, 1000, 13119499, 0.00007622242264915258
Merge Sort using Serial Merge Branchless, 28, 1000, 15557507, 0.00006427765038097277
Merge Sort using Bitonic Merge, 28, 1000, 17848102, 0.00005602836608886719
Quick Sort, 32, 1000, 12721577, 0.00007860660844016820
Merge Sort using Serial Merge, 32, 1000, 12814861, 0.00007803439802955836
Merge Sort using Serial Merge Branchless, 32, 1000, 15158308, 0.00006597042374778539
Merge Sort using Bitonic Merge, 32, 1000, 17615724, 0.00005676746513927355
Quick Sort, 28, 1000, 13001562, 0.00007691383507335559
Merge Sort using Serial Merge, 28, 1000, 13357656, 0.00007486343383789062
Merge Sort using Serial Merge Branchless, 28, 1000, 15431583, 0.00006480216688942164
Merge Sort using Bitonic Merge, 28, 1000, 17993582, 0.00005557537224376574
Quick Sort, 32, 1000, 13005594, 0.00007688999176025391
Merge Sort using Serial Merge, 32, 1000, 13332180, 0.00007500648644054309
Merge Sort using Serial Merge Branchless, 32, 1000, 15341273, 0.00006518363807117566
Merge Sort using Bitonic Merge, 32, 1000, 17817774, 0.00005612373206531629
Quick Sort, 28, 1000, 12973412, 0.00007708072371315211
Merge Sort using Serial Merge, 28, 1000, 13327944, 0.00007503032975364476
Merge Sort using Serial Merge Branchless, 28, 1000, 15603810, 0.00006408691115211695
Merge Sort using Bitonic Merge, 28, 1000, 17924376, 0.00005578994750976562
Quick Sort, 32, 1000, 12830542, 0.00007793903205310926
Merge Sort using Serial Merge, 32, 1000, 13319479, 0.00007507800910389051
Merge Sort using Serial Merge Branchless, 32, 1000, 15662077, 0.00006384849257301539
Merge Sort using Bitonic Merge, 32, 1000, 17932040, 0.00005576610419666395
Quick Sort, 28, 1000, 12838396, 0.00007789135270286351
Merge Sort using Serial Merge, 28, 1000, 13413188, 0.00007455349259544164
Merge Sort using Serial Merge Branchless, 28, 1000, 15621244, 0.00006401538848876953
Merge Sort using Bitonic Merge, 28, 1000, 17886158, 0.00005590915679931641
Quick Sort, 32, 1000, 12969400, 0.00007710456702625379
Merge Sort using Serial Merge, 32, 1000, 13344907, 0.00007493495650123805
Merge Sort using Serial Merge Branchless, 32, 1000, 15285365, 0.00006542205665027723
Merge Sort using Bitonic Merge, 32, 1000, 17848102, 0.00005602836608886719
Quick Sort, 28, 1000, 9362286, 0.00010681152343750000
Merge Sort using Serial Merge, 28, 1000, 9530343, 0.00010492801811778918
Merge Sort using Serial Merge Branchless, 28, 1000, 11615353, 0.00008609295036876574
Merge Sort using Bitonic Merge, 28, 1000, 12427567, 0.00008046627044677734
Quick Sort, 32, 1000, 13021745, 0.00007679462578380480
Merge Sort using Serial Merge, 32, 1000, 13400332, 0.00007462501525878906
Merge Sort using Serial Merge Branchless, 32, 1000, 15437261, 0.00006477833085227758
Merge Sort using Bitonic Merge, 32, 1000, 17955068, 0.00005569458153331652
Quick Sort, 28, 1000, 12901581, 0.00007750988152110949
Merge Sort using Serial Merge, 28, 1000, 12933408, 0.00007731914229225367
Merge Sort using Serial Merge Branchless, 28, 1000, 15477137, 0.00006461143493652344
Merge Sort using Bitonic Merge, 28, 1000, 17832926, 0.00005607604907709174
Quick Sort, 32, 1000, 12858074, 0.00007777214341331273
Merge Sort using Serial Merge, 32, 1000, 12648685, 0.00007905960228526965
Merge Sort using Serial Merge Branchless, 32, 1000, 15569058, 0.00006422996375476941
Merge Sort using Bitonic Merge, 32, 1000, 17878534, 0.00005593300011241809
Quick Sort, 28, 1000, 12913498, 0.00007743835158180445
Merge Sort using Serial Merge, 28, 1000, 13353403, 0.00007488727715099230
Merge Sort using Serial Merge Branchless, 28, 1000, 15431583, 0.00006480216688942164
Merge Sort using Bitonic Merge, 28, 1000, 17817774, 0.00005612373206531629
Quick Sort, 32, 1000, 12917474, 0.00007741451554466039
Merge Sort using Serial Merge, 32, 1000, 13353403, 0.00007488727715099230
Merge Sort using Serial Merge Branchless, 32, 1000, 15540215, 0.00006434917304432020
Merge Sort using Bitonic Merge, 32, 1000, 17855700, 0.00005600452277576551
Quick Sort, 28, 1000, 12985461, 0.00007700920104980469
Merge Sort using Serial Merge, 28, 1000, 13302582, 0.00007517337508033961
Merge Sort using Serial Merge Branchless, 28, 1000, 15494288, 0.00006453991227317601
Merge Sort using Bitonic Merge, 28, 1000, 17848102, 0.00005602836608886719
Quick Sort, 32, 1000, 13001562, 0.00007691383507335559
Merge Sort using Serial Merge, 32, 1000, 13268915, 0.00007536411430919543
Merge Sort using Serial Merge Branchless, 32, 1000, 15598007, 0.00006411075446521863
Merge Sort using Bitonic Merge, 32, 1000, 17932040, 0.00005576610419666395
Quick Sort, 28, 1000, 12985461, 0.00007700920104980469
Merge Sort using Serial Merge, 28, 1000, 13323711, 0.00007505416579078883
Merge Sort using Serial Merge Branchless, 28, 1000, 15285365, 0.00006542205665027723
Merge Sort using Bitonic Merge, 28, 1000, 17840510, 0.00005605220940196887
Quick Sort, 32, 1000, 11096042, 0.00009012222290039062
Merge Sort using Serial Merge, 32, 1000, 11302355, 0.00008847713615978137
Merge Sort using Serial Merge Branchless, 32, 1000, 14285776, 0.00006999969627941027
Merge Sort using Bitonic Merge, 32, 1000, 16905698, 0.00005915165093028918
